id,credit_history,purpose,savings_status,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,duration,credit_amount,installment_commitment,residence_since,age,existing_credits,num_dependents,checking_status,employment,class
247,all paid,other,'>=1000',male single,'co applicant','real estate',none,for free,'unskilled resident',none,no,21<x<38,276<x<4813,x<1,x<1,x>61,2<x<3,x<1,<0,>=7,1
248,delayed previously,domestic appliance,'500<=X<1000',male div/sep,none,'real estate',bank,'for free','unskilled resident',yes,no,4<x<21,276<x<4813,1<x<2,1<x<2,x>61,x>3,x>1,'0<=X<200',1<=X<4,1
249,delayed previously,domestic appliance,'500<=X<1000','male div/sep',guarantor,'life insurance',bank,own,skilled,yes,no,38<x<55,276<x<4813,x<1,x>3,19<x<33,1<x<2,x<1,'0<=X<200',>=7,0
250,'existing paid','domestic appliance',100<=X<500,male div/sep,guarantor,no known property,none,for free,'unemp/unskilled non res',yes,yes,4<x<21,276<x<4813,1<x<2,2<x<3,33<x<47,2<x<3,x>1,'<0',>=7,1
251,'all paid',business,'500<=X<1000','male div/sep',none,'real estate',none,own,unskilled resident,yes,no,4<x<21,4813<x<9350,1<x<2,2<x<3,19<x<33,x>3,x<1,'<0','1<=X<4',1
252,delayed previously,education,'100<=X<500',male single,guarantor,car,stores,'for free',skilled,yes,no,21<x<38,4813<x<9350,2<x<3,x>3,47<x<61,1<x<2,x<1,'>=200','4<=X<7',0
253,existing paid,other,'100<=X<500','male div/sep',guarantor,car,none,own,high qualif/self emp/mgmt,yes,yes,4<x<21,276<x<4813,x<1,2<x<3,x>61,x<1,x>1,'>=200','<1',0
254,'delayed previously','new car','<100','male mar/wid',none,life insurance,bank,for free,'high qualif/self emp/mgmt',yes,no,4<x<21,276<x<4813,x>3,1<x<2,19<x<33,x<1,x<1,<0,>=7,1
255,'existing paid','new car',<100,female div/dep/mar,guarantor,life insurance,bank,for free,unemp/unskilled non res,yes,yes,4<x<21,276<x<4813,1<x<2,2<x<3,47<x<61,x<1,x<1,'>=200',>=7,1
256,existing paid,retraining,'no known savings',male single,'co applicant','real estate',bank,'for free',skilled,yes,yes,4<x<21,4813<x<9350,2<x<3,x>3,x>61,x>3,x>1,0<=X<200,1<=X<4,0
257,existing paid,business,'100<=X<500','male single',none,car,stores,rent,unskilled resident,yes,no,38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,1<x<2,x>1,'0<=X<200','4<=X<7',0
258,'delayed previously',business,'>=1000',male div/sep,co applicant,'life insurance',bank,own,'high qualif/self emp/mgmt',yes,yes,38<x<55,276<x<4813,2<x<3,x>3,x>61,x>3,x<1,>=200,unemployed,0
259,'all paid',domestic appliance,'100<=X<500','male mar/wid',guarantor,'real estate',bank,for free,unskilled resident,none,no,4<x<21,276<x<4813,x>3,1<x<2,47<x<61,x>3,x<1,'<0','1<=X<4',1
260,'critical/other existing credit',radio/tv,>=1000,'male div/sep',co applicant,'no known property',bank,rent,skilled,none,yes,21<x<38,276<x<4813,2<x<3,2<x<3,33<x<47,x<1,x>1,'no checking',unemployed,1
261,delayed previously,new car,'500<=X<1000',male div/sep,co applicant,real estate,none,rent,'unemp/unskilled non res',none,yes,21<x<38,276<x<4813,2<x<3,2<x<3,19<x<33,x<1,x<1,>=200,<1,0
262,'existing paid','new car',>=1000,'male mar/wid',none,real estate,stores,own,unemp/unskilled non res,yes,no,38<x<55,4813<x<9350,x<1,1<x<2,19<x<33,x<1,x>1,0<=X<200,'1<=X<4',1
263,all paid,'used car','no known savings','female div/dep/mar',guarantor,car,bank,own,high qualif/self emp/mgmt,yes,yes,38<x<55,276<x<4813,1<x<2,1<x<2,x>61,x<1,x>1,'0<=X<200','1<=X<4',0
264,'delayed previously','new car',100<=X<500,female div/dep/mar,none,car,bank,'for free',unskilled resident,none,yes,38<x<55,276<x<4813,x>3,x<1,19<x<33,2<x<3,x>1,'<0','<1',0
265,no credits/all paid,radio/tv,<100,'female div/dep/mar',guarantor,'real estate',none,rent,'unemp/unskilled non res',none,yes,4<x<21,276<x<4813,x<1,1<x<2,x>61,x<1,x>1,'>=200','1<=X<4',1
266,no credits/all paid,furniture/equipment,>=1000,male div/sep,none,'life insurance',none,own,'unemp/unskilled non res',none,no,38<x<55,276<x<4813,2<x<3,x>3,33<x<47,x<1,x>1,no checking,'<1',0
267,'no credits/all paid',retraining,>=1000,male div/sep,co applicant,no known property,stores,own,'unemp/unskilled non res',yes,no,4<x<21,276<x<4813,x<1,x<1,47<x<61,1<x<2,x<1,'no checking','4<=X<7',1
268,'existing paid',radio/tv,<100,male mar/wid,'co applicant','no known property',bank,rent,unemp/unskilled non res,yes,no,38<x<55,276<x<4813,2<x<3,x>3,x<19,1<x<2,x<1,'0<=X<200','1<=X<4',1
269,'all paid',radio/tv,<100,female div/dep/mar,none,real estate,stores,for free,unemp/unskilled non res,none,yes,x<4,276<x<4813,x>3,2<x<3,19<x<33,x<1,x>1,no checking,'4<=X<7',1
270,'critical/other existing credit',furniture/equipment,<100,female div/dep/mar,co applicant,'no known property',bank,own,unskilled resident,none,no,4<x<21,276<x<4813,x<1,x>3,x>61,x>3,x>1,0<=X<200,'1<=X<4',1
271,critical/other existing credit,education,<100,female div/dep/mar,co applicant,life insurance,bank,'for free','high qualif/self emp/mgmt',none,yes,4<x<21,276<x<4813,2<x<3,x>3,x<19,1<x<2,x<1,'<0',4<=X<7,1
272,critical/other existing credit,'used car',500<=X<1000,male single,guarantor,life insurance,bank,own,unskilled resident,yes,yes,21<x<38,4813<x<9350,x>3,2<x<3,19<x<33,x<1,x>1,'<0','>=7',0
273,critical/other existing credit,'domestic appliance',<100,male mar/wid,none,real estate,stores,for free,unemp/unskilled non res,none,yes,4<x<21,276<x<4813,1<x<2,2<x<3,47<x<61,1<x<2,x>1,'<0',<1,1
274,existing paid,business,'100<=X<500','female div/dep/mar',none,real estate,bank,own,unemp/unskilled non res,none,no,38<x<55,9350<x<13887,x<1,x<1,19<x<33,x<1,x>1,'>=200',4<=X<7,0
275,'no credits/all paid',domestic appliance,no known savings,'male single',guarantor,real estate,stores,rent,high qualif/self emp/mgmt,yes,yes,38<x<55,9350<x<13887,1<x<2,x<1,x>61,1<x<2,x<1,'>=200','<1',1
276,no credits/all paid,retraining,100<=X<500,male mar/wid,'co applicant',real estate,stores,rent,high qualif/self emp/mgmt,none,yes,21<x<38,276<x<4813,1<x<2,x<1,x>61,x<1,x<1,0<=X<200,4<=X<7,1
277,all paid,'domestic appliance',500<=X<1000,'female div/dep/mar',none,'real estate',none,for free,skilled,yes,no,4<x<21,276<x<4813,2<x<3,x<1,47<x<61,x>3,x<1,'0<=X<200',unemployed,1
278,delayed previously,furniture/equipment,'100<=X<500','male div/sep','co applicant','real estate',bank,own,'high qualif/self emp/mgmt',yes,yes,4<x<21,276<x<4813,x<1,x>3,x>61,1<x<2,x<1,>=200,'>=7',0
279,'all paid',radio/tv,<100,male single,none,'real estate',none,'for free',skilled,yes,yes,21<x<38,276<x<4813,2<x<3,x>3,x>61,2<x<3,x<1,'0<=X<200','>=7',1
280,no credits/all paid,business,'500<=X<1000',male div/sep,guarantor,car,none,own,unskilled resident,none,no,38<x<55,276<x<4813,1<x<2,x>3,33<x<47,x<1,x<1,0<=X<200,<1,0
281,'all paid',domestic appliance,no known savings,'male single','co applicant','life insurance',none,'for free','unemp/unskilled non res',yes,no,21<x<38,276<x<4813,x<1,1<x<2,47<x<61,1<x<2,x<1,'no checking','>=7',1
282,critical/other existing credit,education,>=1000,male mar/wid,guarantor,'real estate',bank,for free,'unemp/unskilled non res',yes,no,4<x<21,276<x<4813,1<x<2,x>3,47<x<61,x>3,x>1,'no checking','>=7',1
283,existing paid,repairs,<100,'male div/sep','co applicant','life insurance',none,rent,'unskilled resident',yes,no,x<4,4813<x<9350,2<x<3,1<x<2,47<x<61,1<x<2,x>1,<0,'4<=X<7',1
284,critical/other existing credit,new car,'500<=X<1000','male mar/wid',guarantor,real estate,stores,for free,high qualif/self emp/mgmt,yes,no,4<x<21,276<x<4813,1<x<2,x>3,x>61,x>3,x>1,<0,'4<=X<7',1
285,'no credits/all paid',business,100<=X<500,'female div/dep/mar',co applicant,no known property,bank,own,'high qualif/self emp/mgmt',yes,no,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,x<1,x>1,0<=X<200,'4<=X<7',1
286,no credits/all paid,furniture/equipment,500<=X<1000,female div/dep/mar,none,'no known property',bank,for free,unemp/unskilled non res,yes,yes,4<x<21,4813<x<9350,2<x<3,2<x<3,x>61,2<x<3,x<1,'0<=X<200',>=7,0
287,no credits/all paid,other,'<100',male div/sep,none,no known property,none,own,'unemp/unskilled non res',yes,yes,21<x<38,276<x<4813,1<x<2,x<1,19<x<33,x>3,x<1,<0,1<=X<4,1
288,'delayed previously','domestic appliance',500<=X<1000,'male single','co applicant',life insurance,stores,rent,'high qualif/self emp/mgmt',none,yes,21<x<38,276<x<4813,1<x<2,x>3,19<x<33,1<x<2,x>1,'>=200','<1',0
289,all paid,radio/tv,'>=1000','male div/sep',co applicant,car,stores,'for free',unemp/unskilled non res,yes,yes,4<x<21,276<x<4813,2<x<3,x<1,19<x<33,x>3,x<1,'no checking',<1,1
290,delayed previously,retraining,'500<=X<1000',male mar/wid,co applicant,life insurance,none,'for free',skilled,yes,yes,4<x<21,276<x<4813,x<1,1<x<2,x>61,2<x<3,x<1,>=200,1<=X<4,1
291,delayed previously,'domestic appliance','>=1000','male div/sep',guarantor,'no known property',bank,own,unemp/unskilled non res,none,yes,38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,1<x<2,x>1,'no checking',1<=X<4,0
292,all paid,'domestic appliance','100<=X<500','male div/sep',guarantor,'no known property',none,own,unskilled resident,none,no,4<x<21,276<x<4813,2<x<3,2<x<3,x>61,1<x<2,x<1,'<0',1<=X<4,0
293,no credits/all paid,furniture/equipment,no known savings,'male single',guarantor,'no known property',stores,rent,unskilled resident,yes,yes,38<x<55,276<x<4813,2<x<3,x>3,33<x<47,1<x<2,x>1,no checking,1<=X<4,0
294,'all paid','new car','500<=X<1000',male div/sep,guarantor,'real estate',stores,'for free',unemp/unskilled non res,none,yes,4<x<21,9350<x<13887,x>3,x<1,33<x<47,2<x<3,x<1,no checking,'>=7',1
295,critical/other existing credit,business,>=1000,'male mar/wid',guarantor,'real estate',none,rent,high qualif/self emp/mgmt,none,yes,21<x<38,276<x<4813,2<x<3,x>3,19<x<33,1<x<2,x>1,no checking,>=7,1
296,'delayed previously',new car,'100<=X<500','male single',co applicant,no known property,none,own,high qualif/self emp/mgmt,yes,no,38<x<55,276<x<4813,x>3,1<x<2,19<x<33,x<1,x<1,'0<=X<200',>=7,1
297,'critical/other existing credit',education,100<=X<500,female div/dep/mar,'co applicant',real estate,stores,rent,'high qualif/self emp/mgmt',none,yes,21<x<38,9350<x<13887,1<x<2,2<x<3,47<x<61,x<1,x>1,'no checking','>=7',1
298,all paid,repairs,100<=X<500,female div/dep/mar,guarantor,'real estate',bank,rent,'unemp/unskilled non res',yes,yes,21<x<38,276<x<4813,2<x<3,2<x<3,47<x<61,x>3,x>1,'0<=X<200',>=7,1
299,'delayed previously','used car',100<=X<500,male single,'co applicant','real estate',bank,rent,high qualif/self emp/mgmt,yes,no,21<x<38,276<x<4813,1<x<2,x<1,33<x<47,x>3,x<1,'no checking','<1',1
300,no credits/all paid,radio/tv,'100<=X<500','male div/sep','co applicant',life insurance,bank,own,unemp/unskilled non res,none,no,38<x<55,276<x<4813,x<1,x>3,x>61,1<x<2,x>1,'<0','4<=X<7',0
301,delayed previously,repairs,>=1000,male mar/wid,'co applicant','no known property',bank,own,'high qualif/self emp/mgmt',none,yes,38<x<55,276<x<4813,2<x<3,2<x<3,47<x<61,x>3,x<1,>=200,unemployed,0
302,'existing paid','domestic appliance',>=1000,male mar/wid,co applicant,life insurance,stores,for free,skilled,yes,yes,4<x<21,276<x<4813,1<x<2,x>3,33<x<47,x<1,x<1,'>=200',<1,1
303,'existing paid',education,'<100','male mar/wid',guarantor,car,none,for free,skilled,none,yes,21<x<38,276<x<4813,2<x<3,1<x<2,47<x<61,x>3,x<1,'<0',1<=X<4,1
304,'no credits/all paid',used car,no known savings,'male div/sep',co applicant,car,none,'for free','unskilled resident',yes,no,4<x<21,9350<x<13887,x<1,1<x<2,19<x<33,2<x<3,x>1,'>=200','1<=X<4',1
305,'existing paid',furniture/equipment,500<=X<1000,'male div/sep',co applicant,real estate,stores,'for free','high qualif/self emp/mgmt',yes,yes,4<x<21,276<x<4813,1<x<2,x>3,x>61,x<1,x<1,<0,<1,1
306,'delayed previously',new car,<100,'female div/dep/mar',none,car,none,for free,'unskilled resident',yes,no,21<x<38,9350<x<13887,2<x<3,x<1,33<x<47,2<x<3,x>1,>=200,unemployed,0
307,critical/other existing credit,used car,<100,male mar/wid,guarantor,'real estate',none,own,'unskilled resident',none,no,38<x<55,4813<x<9350,x>3,1<x<2,19<x<33,x<1,x>1,<0,'>=7',1
308,'delayed previously','domestic appliance','<100','male mar/wid','co applicant','life insurance',none,rent,unskilled resident,yes,yes,21<x<38,276<x<4813,x>3,2<x<3,19<x<33,2<x<3,x<1,'<0',1<=X<4,0
309,critical/other existing credit,domestic appliance,>=1000,male single,'co applicant','no known property',none,for free,'unskilled resident',none,no,21<x<38,276<x<4813,2<x<3,2<x<3,33<x<47,x<1,x<1,<0,'>=7',1
310,delayed previously,other,'no known savings',male mar/wid,'co applicant','real estate',stores,own,'high qualif/self emp/mgmt',none,yes,4<x<21,276<x<4813,x<1,1<x<2,19<x<33,2<x<3,x>1,>=200,'>=7',1
311,'all paid','used car','500<=X<1000','male mar/wid',guarantor,life insurance,bank,rent,unemp/unskilled non res,none,no,4<x<21,276<x<4813,x>3,x>3,47<x<61,x<1,x>1,0<=X<200,'<1',1
312,'existing paid',domestic appliance,'no known savings','male mar/wid',none,real estate,none,rent,high qualif/self emp/mgmt,none,no,4<x<21,4813<x<9350,1<x<2,2<x<3,47<x<61,x>3,x<1,>=200,'4<=X<7',1
313,'all paid','domestic appliance','100<=X<500',male single,none,real estate,none,rent,high qualif/self emp/mgmt,yes,no,4<x<21,276<x<4813,2<x<3,x>3,47<x<61,2<x<3,x<1,'0<=X<200','>=7',1
314,'existing paid',education,'100<=X<500','male single',guarantor,life insurance,none,rent,unemp/unskilled non res,yes,yes,4<x<21,4813<x<9350,x>3,1<x<2,x>61,2<x<3,x<1,>=200,'4<=X<7',0
315,no credits/all paid,retraining,'500<=X<1000',female div/dep/mar,guarantor,real estate,none,rent,unemp/unskilled non res,yes,no,4<x<21,276<x<4813,2<x<3,x<1,47<x<61,x<1,x>1,'>=200',4<=X<7,1
316,existing paid,new car,'100<=X<500',female div/dep/mar,none,life insurance,stores,'for free','unskilled resident',yes,no,38<x<55,276<x<4813,1<x<2,x>3,19<x<33,x<1,x<1,'0<=X<200',<1,0
317,'no credits/all paid',used car,'>=1000',male mar/wid,guarantor,real estate,bank,'for free','unemp/unskilled non res',none,no,21<x<38,276<x<4813,2<x<3,x<1,19<x<33,2<x<3,x<1,no checking,'<1',1
318,no credits/all paid,domestic appliance,'no known savings','male div/sep','co applicant',car,bank,own,'unskilled resident',none,no,38<x<55,276<x<4813,2<x<3,x>3,x>61,x>3,x<1,'>=200','<1',0
319,existing paid,used car,<100,'male mar/wid','co applicant',car,bank,for free,'unemp/unskilled non res',yes,yes,21<x<38,276<x<4813,1<x<2,x>3,19<x<33,2<x<3,x<1,'>=200','>=7',1
320,'no credits/all paid',used car,'>=1000','female div/dep/mar',co applicant,'real estate',bank,own,skilled,yes,yes,4<x<21,276<x<4813,1<x<2,1<x<2,x>61,1<x<2,x<1,<0,'<1',1
321,'delayed previously','domestic appliance',500<=X<1000,'male div/sep','co applicant',no known property,stores,'for free','unskilled resident',none,yes,4<x<21,276<x<4813,x>3,x>3,19<x<33,1<x<2,x<1,'0<=X<200',>=7,1
322,all paid,domestic appliance,500<=X<1000,male mar/wid,none,'no known property',stores,for free,'unemp/unskilled non res',none,yes,4<x<21,4813<x<9350,2<x<3,x<1,33<x<47,1<x<2,x>1,'<0',<1,1
323,existing paid,used car,'>=1000','male div/sep',guarantor,'no known property',none,'for free','unskilled resident',none,no,4<x<21,276<x<4813,2<x<3,x<1,x>61,x>3,x>1,<0,<1,1
324,'no credits/all paid','used car',no known savings,male mar/wid,co applicant,car,bank,'for free',unemp/unskilled non res,none,no,4<x<21,276<x<4813,2<x<3,x<1,47<x<61,x>3,x<1,<0,'>=7',1
325,'critical/other existing credit',new car,no known savings,'female div/dep/mar',none,no known property,none,own,unskilled resident,yes,no,x<4,276<x<4813,x<1,x<1,19<x<33,2<x<3,x>1,'<0',4<=X<7,1
326,'delayed previously',retraining,'500<=X<1000',female div/dep/mar,none,'life insurance',none,rent,high qualif/self emp/mgmt,yes,yes,4<x<21,4813<x<9350,2<x<3,2<x<3,47<x<61,x<1,x<1,'no checking',1<=X<4,1
327,'no credits/all paid',other,no known savings,male mar/wid,none,'no known property',stores,'for free','high qualif/self emp/mgmt',none,yes,4<x<21,276<x<4813,x<1,1<x<2,x<19,1<x<2,x<1,'0<=X<200',>=7,1
328,existing paid,domestic appliance,no known savings,male mar/wid,'co applicant',no known property,none,'for free','high qualif/self emp/mgmt',none,yes,4<x<21,276<x<4813,x<1,x>3,47<x<61,x<1,x>1,0<=X<200,'<1',1
329,all paid,'new car','100<=X<500','male single','co applicant',no known property,bank,own,'unskilled resident',yes,no,21<x<38,276<x<4813,x<1,2<x<3,47<x<61,x<1,x>1,0<=X<200,'>=7',0
330,'critical/other existing credit',new car,'<100','female div/dep/mar',co applicant,'life insurance',bank,'for free','high qualif/self emp/mgmt',none,yes,21<x<38,276<x<4813,1<x<2,x>3,47<x<61,2<x<3,x>1,<0,'<1',1
331,delayed previously,'domestic appliance',no known savings,'male mar/wid',none,'real estate',stores,'for free',high qualif/self emp/mgmt,none,no,4<x<21,276<x<4813,x<1,2<x<3,x>61,2<x<3,x<1,'no checking',unemployed,1
332,existing paid,repairs,no known savings,male single,none,'real estate',stores,'for free',high qualif/self emp/mgmt,yes,yes,4<x<21,276<x<4813,x>3,x<1,47<x<61,x<1,x>1,'>=200','<1',1
333,'delayed previously',repairs,'>=1000','female div/dep/mar',co applicant,car,stores,own,'unemp/unskilled non res',yes,yes,21<x<38,4813<x<9350,x<1,1<x<2,47<x<61,x>3,x>1,>=200,'<1',1
334,delayed previously,domestic appliance,'<100','female div/dep/mar',co applicant,car,bank,own,'high qualif/self emp/mgmt',none,no,21<x<38,4813<x<9350,1<x<2,x>3,47<x<61,1<x<2,x<1,'0<=X<200','1<=X<4',0
335,'critical/other existing credit',domestic appliance,<100,male mar/wid,'co applicant',car,stores,'for free',unskilled resident,yes,yes,38<x<55,276<x<4813,x<1,x>3,19<x<33,x>3,x<1,0<=X<200,4<=X<7,1
336,critical/other existing credit,education,'>=1000','male div/sep',co applicant,'real estate',none,'for free','high qualif/self emp/mgmt',none,no,21<x<38,276<x<4813,1<x<2,1<x<2,x>61,x>3,x>1,no checking,>=7,1
337,critical/other existing credit,domestic appliance,>=1000,male div/sep,'co applicant',no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4<x<21,276<x<4813,x<1,1<x<2,33<x<47,1<x<2,x<1,'<0',>=7,1
338,no credits/all paid,education,'>=1000',male mar/wid,guarantor,life insurance,stores,'for free',unskilled resident,none,no,x<4,276<x<4813,1<x<2,x<1,x>61,1<x<2,x>1,'<0',1<=X<4,1
339,existing paid,education,'>=1000','male mar/wid',none,'no known property',stores,'for free',skilled,none,yes,21<x<38,276<x<4813,x>3,1<x<2,47<x<61,2<x<3,x<1,<0,1<=X<4,0
340,'existing paid',furniture/equipment,'>=1000','female div/dep/mar','co applicant',life insurance,none,own,'high qualif/self emp/mgmt',yes,no,4<x<21,276<x<4813,1<x<2,x<1,19<x<33,1<x<2,x>1,'<0','4<=X<7',1
341,'all paid',domestic appliance,'no known savings',female div/dep/mar,none,real estate,bank,rent,'unemp/unskilled non res',none,yes,x>55,276<x<4813,1<x<2,2<x<3,19<x<33,2<x<3,x<1,'>=200',1<=X<4,1
342,critical/other existing credit,new car,'>=1000',male div/sep,co applicant,car,stores,for free,skilled,none,yes,4<x<21,276<x<4813,x>3,x<1,x>61,x>3,x<1,'<0','>=7',1
343,'existing paid','domestic appliance','100<=X<500',male mar/wid,none,'real estate',none,rent,'unemp/unskilled non res',yes,yes,21<x<38,276<x<4813,x>3,x>3,x>61,2<x<3,x>1,0<=X<200,unemployed,0
344,existing paid,new car,100<=X<500,'male mar/wid',co applicant,'life insurance',bank,rent,'unemp/unskilled non res',yes,no,21<x<38,276<x<4813,x>3,1<x<2,19<x<33,1<x<2,x<1,no checking,'4<=X<7',1
345,delayed previously,'domestic appliance','100<=X<500','male mar/wid',co applicant,car,stores,rent,high qualif/self emp/mgmt,none,yes,4<x<21,276<x<4813,2<x<3,x<1,33<x<47,x>3,x<1,0<=X<200,1<=X<4,0
346,existing paid,'new car','<100',male mar/wid,co applicant,real estate,stores,own,unemp/unskilled non res,none,yes,x>55,276<x<4813,2<x<3,x<1,19<x<33,2<x<3,x>1,'0<=X<200','<1',0
347,'no credits/all paid',domestic appliance,100<=X<500,'male div/sep',guarantor,real estate,none,'for free',high qualif/self emp/mgmt,none,yes,4<x<21,276<x<4813,x>3,2<x<3,19<x<33,2<x<3,x>1,'no checking',>=7,1
348,'delayed previously','used car',>=1000,male single,none,life insurance,bank,rent,unemp/unskilled non res,yes,yes,4<x<21,276<x<4813,2<x<3,1<x<2,19<x<33,2<x<3,x>1,'0<=X<200',4<=X<7,1
349,'all paid',business,'no known savings','male div/sep','co applicant',life insurance,none,own,skilled,yes,no,x>55,276<x<4813,x<1,2<x<3,19<x<33,x<1,x>1,'<0',>=7,1
350,delayed previously,used car,no known savings,'male div/sep',guarantor,'no known property',none,for free,'unskilled resident',none,yes,4<x<21,276<x<4813,2<x<3,2<x<3,x>61,2<x<3,x>1,'<0',1<=X<4,1
351,'all paid','new car',100<=X<500,male div/sep,none,real estate,none,own,'high qualif/self emp/mgmt',yes,no,4<x<21,276<x<4813,x>3,2<x<3,47<x<61,x>3,x<1,>=200,'>=7',1
352,'delayed previously',used car,no known savings,male single,co applicant,real estate,none,rent,'unemp/unskilled non res',none,yes,x<4,276<x<4813,1<x<2,1<x<2,x>61,2<x<3,x>1,'no checking',4<=X<7,1
353,delayed previously,radio/tv,no known savings,'male div/sep',none,real estate,bank,for free,'high qualif/self emp/mgmt',none,yes,38<x<55,276<x<4813,x<1,2<x<3,33<x<47,1<x<2,x<1,'no checking',unemployed,1
354,critical/other existing credit,'new car','<100',female div/dep/mar,guarantor,'no known property',bank,'for free',unskilled resident,none,yes,38<x<55,276<x<4813,x>3,1<x<2,19<x<33,x<1,x<1,<0,'1<=X<4',0
355,'no credits/all paid',retraining,'100<=X<500',male div/sep,co applicant,'life insurance',none,'for free','high qualif/self emp/mgmt',yes,yes,4<x<21,276<x<4813,1<x<2,x>3,x<19,x>3,x>1,0<=X<200,unemployed,1
356,'existing paid',repairs,'500<=X<1000',female div/dep/mar,'co applicant',real estate,none,own,unemp/unskilled non res,none,yes,38<x<55,276<x<4813,x>3,x>3,x<19,x>3,x<1,0<=X<200,unemployed,0
357,all paid,domestic appliance,'>=1000',male single,'co applicant','no known property',bank,own,'high qualif/self emp/mgmt',none,no,21<x<38,276<x<4813,2<x<3,x>3,19<x<33,x<1,x>1,>=200,>=7,0
358,all paid,repairs,>=1000,'male mar/wid',guarantor,life insurance,none,own,unskilled resident,yes,no,x>55,276<x<4813,x<1,2<x<3,x>61,x<1,x<1,0<=X<200,'>=7',1
359,all paid,furniture/equipment,'100<=X<500','male mar/wid','co applicant',real estate,stores,'for free','unskilled resident',none,yes,x>55,276<x<4813,x<1,2<x<3,33<x<47,2<x<3,x>1,'0<=X<200',4<=X<7,0
360,critical/other existing credit,'domestic appliance',>=1000,'male single',co applicant,'life insurance',none,for free,'unskilled resident',yes,yes,4<x<21,4813<x<9350,2<x<3,2<x<3,x>61,x>3,x>1,'<0','>=7',0
361,delayed previously,new car,<100,'female div/dep/mar',guarantor,no known property,bank,for free,high qualif/self emp/mgmt,none,no,21<x<38,276<x<4813,x>3,1<x<2,47<x<61,x>3,x<1,no checking,'1<=X<4',1
362,no credits/all paid,repairs,'100<=X<500','male single',guarantor,no known property,stores,for free,high qualif/self emp/mgmt,yes,yes,4<x<21,276<x<4813,x>3,x<1,x>61,2<x<3,x>1,no checking,'>=7',1
363,'all paid','domestic appliance',100<=X<500,male single,'co applicant','life insurance',stores,'for free',unskilled resident,none,no,4<x<21,4813<x<9350,x>3,2<x<3,47<x<61,2<x<3,x<1,'no checking',4<=X<7,1
364,existing paid,education,'500<=X<1000',female div/dep/mar,none,life insurance,stores,'for free',skilled,yes,yes,4<x<21,276<x<4813,1<x<2,x<1,x>61,x>3,x<1,'no checking',<1,1
365,all paid,business,'<100','female div/dep/mar',none,'real estate',bank,own,'unemp/unskilled non res',yes,no,x<4,276<x<4813,1<x<2,2<x<3,x>61,x>3,x>1,'<0',unemployed,1
366,'all paid',domestic appliance,<100,'female div/dep/mar',co applicant,no known property,bank,'for free',high qualif/self emp/mgmt,none,yes,4<x<21,4813<x<9350,1<x<2,2<x<3,47<x<61,2<x<3,x<1,no checking,'>=7',1
367,'all paid',used car,100<=X<500,'male div/sep',co applicant,'no known property',none,'for free',high qualif/self emp/mgmt,yes,yes,38<x<55,4813<x<9350,2<x<3,1<x<2,19<x<33,x<1,x<1,'no checking','1<=X<4',1
368,delayed previously,business,'no known savings',female div/dep/mar,none,life insurance,none,own,unemp/unskilled non res,none,no,4<x<21,276<x<4813,x>3,2<x<3,33<x<47,x<1,x<1,'<0',>=7,1
369,existing paid,'domestic appliance',>=1000,'male single',none,'life insurance',bank,own,'unemp/unskilled non res',yes,no,4<x<21,276<x<4813,x>3,x>3,47<x<61,1<x<2,x<1,'0<=X<200',1<=X<4,0
370,critical/other existing credit,repairs,'no known savings','male div/sep',co applicant,no known property,stores,for free,high qualif/self emp/mgmt,none,yes,4<x<21,276<x<4813,1<x<2,2<x<3,x>61,x<1,x<1,'>=200',4<=X<7,1
371,'all paid',retraining,100<=X<500,female div/dep/mar,co applicant,'life insurance',stores,for free,unskilled resident,none,no,x>55,276<x<4813,1<x<2,x>3,x>61,x<1,x<1,>=200,'4<=X<7',1
372,existing paid,repairs,'100<=X<500',male single,none,no known property,stores,rent,'unemp/unskilled non res',yes,no,x<4,276<x<4813,x<1,2<x<3,19<x<33,2<x<3,x<1,'>=200',1<=X<4,1
373,all paid,education,'>=1000',male single,'co applicant','life insurance',bank,own,'high qualif/self emp/mgmt',yes,yes,21<x<38,276<x<4813,1<x<2,1<x<2,19<x<33,1<x<2,x<1,>=200,'<1',0
374,delayed previously,radio/tv,'<100','male single',none,'life insurance',stores,'for free',unskilled resident,none,no,38<x<55,276<x<4813,x>3,x<1,x>61,1<x<2,x<1,>=200,1<=X<4,0
375,existing paid,'new car','no known savings',male single,'co applicant','life insurance',none,'for free',unemp/unskilled non res,none,no,21<x<38,4813<x<9350,x>3,x>3,47<x<61,x<1,x<1,'no checking',1<=X<4,0
376,critical/other existing credit,'domestic appliance',>=1000,female div/dep/mar,none,car,none,'for free','unskilled resident',none,no,38<x<55,276<x<4813,2<x<3,1<x<2,x>61,x<1,x>1,'>=200',unemployed,0
377,'existing paid',furniture/equipment,'<100',female div/dep/mar,guarantor,real estate,bank,own,'high qualif/self emp/mgmt',none,yes,21<x<38,276<x<4813,2<x<3,x>3,33<x<47,2<x<3,x>1,'0<=X<200',<1,0
